Genome	Permutation	Clusters
797	14	Perm28	24286
798	15	Perm28	24994
799	16	Perm28	25693
800	17	Perm28	26021
801	18	Perm28	26637
802	19	Perm28	26942
803	20	Perm28	27231
804	21	Perm28	27714
805	22	Perm28	28103
806	23	Perm28	28840
807	24	Perm28	29001
808	25	Perm28	29142
809	26	Perm28	29974
810	27	Perm28	30374
811	28	Perm28	30513
812	29	Perm28	30970
813	1	Perm29	1754
814	2	Perm29	6308
815	3	Perm29	9226
816	4	Perm29	11618
817	5	Perm29	13457
818	6	Perm29	15112
819	7	Perm29	17063
820	8	Perm29	18364
821	9	Perm29	19771
822	10	Perm29	20739
823	11	Perm29	21900
824	12	Perm29	22689
825	13	Perm29	23397
826	14	Perm29	24274
827	15	Perm29	25198
828	16	Perm29	25831
829	17	Perm29	26544
830	18	Perm29	27063
831	19	Perm29	27567
832	20	Perm29	28061
833	21	Perm29	28157
834	22	Perm29	28672
835	23	Perm29	28739
836	24	Perm29	29141
837	25	Perm29	29630
838	26	Perm29	29810
839	27	Perm29	30108
840	28	Perm29	30578
841	29	Perm29	30970
842	1	Perm30	4989
843	2	Perm30	7626
844	3	Perm30	9331
845	4	Perm30	12365
846	5	Perm30	15187
847	6	Perm30	16568
848	7	Perm30	17874
849	8	Perm30	18415
850	9	Perm30	19343
851	10	Perm30	20685
852	11	Perm30	21628
853	12	Perm30	22584
854	13	Perm30	23252
855	14	Perm30	24046
856	15	Perm30	24587
857	16	Perm30	25329
858	17	Perm30	26231
859	18	Perm30	26675
860	19	Perm30	27213
861	20	Perm30	27797
862	21	Perm30	28078
863	22	Perm30	28352
864	23	Perm30	28709
865	24	Perm30	29049
866	25	Perm30	29619
867	26	Perm30	30107
868	27	Perm30	30366
869	28	Perm30	30513
870	29	Perm30	30970
871	1	Perm31	3133
872	2	Perm31	7651
873	3	Perm31	10895
874	4	Perm31	13082
875	5	Perm31	14715
876	6	Perm31	16003
877	7	Perm31	17334
878	8	Perm31	18718
879	9	Perm31	19757
880	10	Perm31	20700
881	11	Perm31	21551
882	12	Perm31	22188
883	13	Perm31	22929
884	14	Perm31	23380
885	15	Perm31	24388
886	16	Perm31	25030
887	17	Perm31	25935
888	18	Perm31	26580
889	19	Perm31	27090
890	20	Perm31	27340
891	21	Perm31	27888
892	22	Perm31	28073
893	23	Perm31	28556
894	24	Perm31	28577
895	25	Perm31	28869
896	26	Perm31	29137
897	27	Perm31	29437
898	28	Perm31	30165
899	29	Perm31	30970
900	1	Perm32	3133
901	2	Perm32	4923
902	3	Perm32	6574
903	4	Perm32	10451
904	5	Perm32	11482
905	6	Perm32	14561
906	7	Perm32	17014
907	8	Perm32	18200
908	9	Perm32	18812
909	10	Perm32	19513
910	11	Perm32	21187
911	12	Perm32	22450
912	13	Perm32	23088
913	14	Perm32	23943
914	15	Perm32	24877
915	16	Perm32	25130
916	17	Perm32	25838
917	18	Perm32	26654
918	19	Perm32	27514
919	20	Perm32	28044
920	21	Perm32	28621
921	22	Perm32	28646
922	23	Perm32	29148
923	24	Perm32	29287
924	25	Perm32	29834
925	26	Perm32	30257
926	27	Perm32	30414
927	28	Perm32	30535
928	29	Perm32	30970
929	1	Perm33	4989
930	2	Perm33	7954
931	3	Perm33	10212
932	4	Perm33	11847
933	5	Perm33	12983
934	6	Perm33	13615
935	7	Perm33	15573
936	8	Perm33	16046
937	9	Perm33	16745
938	10	Perm33	17239
939	11	Perm33	19556
940	12	Perm33	19803
941	13	Perm33	21142
942	14	Perm33	22304
943	15	Perm33	23302
944	16	Perm33	24074
945	17	Perm33	24796
946	18	Perm33	25703
947	19	Perm33	26465
948	20	Perm33	26618
949	21	Perm33	27232
950	22	Perm33	27320
951	23	Perm33	27558
952	24	Perm33	28164
953	25	Perm33	29011
954	26	Perm33	29421
955	27	Perm33	29932
956	28	Perm33	30456
957	29	Perm33	30970
958	1	Perm34	4821
959	2	Perm34	7551
960	3	Perm34	9344
961	4	Perm34	12229
962	5	Perm34	13357
963	6	Perm34	14610
964	7	Perm34	15685
965	8	Perm34	16719
966	9	Perm34	18312
967	10	Perm34	19565
968	11	Perm34	21284
969	12	Perm34	22380
970	13	Perm34	22947
971	14	Perm34	23944
972	15	Perm34	24712
973	16	Perm34	25422
974	17	Perm34	26214
975	18	Perm34	26556
976	19	Perm34	27120
977	20	Perm34	27320
978	21	Perm34	27517
979	22	Perm34	28367
980	23	Perm34	28770
981	24	Perm34	29265
982	25	Perm34	29417
983	26	Perm34	29559
984	27	Perm34	30034
985	28	Perm34	30513
986	29	Perm34	30970
987	1	Perm35	2948
988	2	Perm35	4891
989	3	Perm35	6298
990	4	Perm35	11339
991	5	Perm35	12591
992	6	Perm35	13372
993	7	Perm35	15977
994	8	Perm35	16926
995	9	Perm35	17819
996	10	Perm35	18897
997	11	Perm35	19625
998	12	Perm35	21455
999	13	Perm35	22947
1000	14	Perm35	23594
1001	15	Perm35	24215
1002	16	Perm35	25116
1003	17	Perm35	25907
1004	18	Perm35	26354
1005	19	Perm35	27152
1006	20	Perm35	27719
1007	21	Perm35	28253
1008	22	Perm35	28334
1009	23	Perm35	28431
1010	24	Perm35	28868
1011	25	Perm35	29625
1012	26	Perm35	29840
1013	27	Perm35	29959
1014	28	Perm35	30501
1015	29	Perm35	30970
1016	1	Perm36	2156
1017	2	Perm36	6136
1018	3	Perm36	8380
1019	4	Perm36	10942
1020	5	Perm36	12726
1021	6	Perm36	14261
1022	7	Perm36	15353
1023	8	Perm36	18291
1024	9	Perm36	19602
1025	10	Perm36	21038
1026	11	Perm36	21824
1027	12	Perm36	22426
1028	13	Perm36	23267
1029	14	Perm36	23917
1030	15	Perm36	24799
1031	16	Perm36	25645
1032	17	Perm36	26254
1033	18	Perm36	26759
1034	19	Perm36	27275
1035	20	Perm36	27773
1036	21	Perm36	28374
1037	22	Perm36	29256
1038	23	Perm36	29714
1039	24	Perm36	30191
1040	25	Perm36	30429
1041	26	Perm36	30580
1042	27	Perm36	30711
1043	28	Perm36	30951
1044	29	Perm36	30970
1045	1	Perm37	4821
1046	2	Perm37	6308
1047	3	Perm37	8991
1048	4	Perm37	10965
1049	5	Perm37	12487
1050	6	Perm37	14820
1051	7	Perm37	16448
1052	8	Perm37	17339
1053	9	Perm37	18046
1054	10	Perm37	19688
1055	11	Perm37	20937
1056	12	Perm37	21363
1057	13	Perm37	22297
1058	14	Perm37	22656
1059	15	Perm37	23718
1060	16	Perm37	24539
1061	17	Perm37	25277
1062	18	Perm37	25882
1063	19	Perm37	26473
1064	20	Perm37	27012
1065	21	Perm37	27533
1066	22	Perm37	27781
1067	23	Perm37	28316
1068	24	Perm37	28689
1069	25	Perm37	29101
1070	26	Perm37	29336
1071	27	Perm37	30078
1072	28	Perm37	30098
1073	29	Perm37	30970
1074	1	Perm38	3195
1075	2	Perm38	5106
1076	3	Perm38	8900
1077	4	Perm38	10682
1078	5	Perm38	14092
1079	6	Perm38	15646
1080	7	Perm38	16472
1081	8	Perm38	17499
1082	9	Perm38	18711
1083	10	Perm38	19815
1084	11	Perm38	21309
1085	12	Perm38	22188
1086	13	Perm38	23303
1087	14	Perm38	24094
1088	15	Perm38	24639
1089	16	Perm38	25537
1090	17	Perm38	26149
1091	18	Perm38	26387
1092	19	Perm38	26609
1093	20	Perm38	27359
1094	21	Perm38	28076
1095	22	Perm38	28236
1096	23	Perm38	28401
1097	24	Perm38	29128
1098	25	Perm38	29405
1099	26	Perm38	29909
1100	27	Perm38	30028
1101	28	Perm38	30521
1102	29	Perm38	30970
1103	1	Perm39	4821
1104	2	Perm39	7857
1105	3	Perm39	9654
1106	4	Perm39	11036
1107	5	Perm39	12221
1108	6	Perm39	15334
1109	7	Perm39	16219
1110	8	Perm39	17018
1111	9	Perm39	19033
1112	10	Perm39	20616
1113	11	Perm39	21393
1114	12	Perm39	22284
1115	13	Perm39	23386
1116	14	Perm39	24076
1117	15	Perm39	24675
1118	16	Perm39	25147
1119	17	Perm39	25582
1120	18	Perm39	26256
1121	19	Perm39	26819
1122	20	Perm39	27154
1123	21	Perm39	27622
1124	22	Perm39	28169
1125	23	Perm39	29064
1126	24	Perm39	29242
1127	25	Perm39	29522
1128	26	Perm39	30264
1129	27	Perm39	30701
1130	28	Perm39	30831
1131	29	Perm39	30970
1132	1	Perm40	4552
1133	2	Perm40	7293
1134	3	Perm40	9845
1135	4	Perm40	11584
1136	5	Perm40	12830
1137	6	Perm40	15164
1138	7	Perm40	16289
1139	8	Perm40	17675
1140	9	Perm40	18753
1141	10	Perm40	19676
1142	11	Perm40	21155
1143	12	Perm40	22058
1144	13	Perm40	22888
1145	14	Perm40	23834
1146	15	Perm40	24580
1147	16	Perm40	25082
1148	17	Perm40	25640
