Genome	Permutation	Clusters
856	16	Perm31	1034710
857	17	Perm31	1037301
858	18	Perm31	1048921
859	19	Perm31	1072720
860	20	Perm31	1075409
861	21	Perm31	1081110
862	22	Perm31	1088128
863	23	Perm31	1155382
864	24	Perm31	1157978
865	25	Perm31	1166582
866	26	Perm31	1172762
867	27	Perm31	1176730
868	28	Perm31	1177920
869	1	Perm32	275253
870	2	Perm32	613950
871	3	Perm32	678931
872	4	Perm32	725014
873	5	Perm32	755443
874	6	Perm32	810988
875	7	Perm32	851806
876	8	Perm32	879238
877	9	Perm32	942252
878	10	Perm32	957199
879	11	Perm32	968460
880	12	Perm32	980623
881	13	Perm32	991413
882	14	Perm32	1005119
883	15	Perm32	1015661
884	16	Perm32	1048542
885	17	Perm32	1121028
886	18	Perm32	1127965
887	19	Perm32	1138346
888	20	Perm32	1145762
889	21	Perm32	1148572
890	22	Perm32	1152488
891	23	Perm32	1157458
892	24	Perm32	1171065
893	25	Perm32	1172670
894	26	Perm32	1173614
895	27	Perm32	1174745
896	28	Perm32	1177920
897	1	Perm33	509380
898	2	Perm33	621886
899	3	Perm33	677758
900	4	Perm33	735351
901	5	Perm33	778628
902	6	Perm33	807609
903	7	Perm33	869651
904	8	Perm33	898203
905	9	Perm33	918202
906	10	Perm33	934151
907	11	Perm33	997446
908	12	Perm33	1013008
909	13	Perm33	1025091
910	14	Perm33	1039822
911	15	Perm33	1051423
912	16	Perm33	1057444
913	17	Perm33	1060768
914	18	Perm33	1130802
915	19	Perm33	1133661
916	20	Perm33	1135887
917	21	Perm33	1143590
918	22	Perm33	1145670
919	23	Perm33	1152417
920	24	Perm33	1166651
921	25	Perm33	1170494
922	26	Perm33	1175380
923	27	Perm33	1177384
924	28	Perm33	1177920
925	1	Perm34	531851
926	2	Perm34	667456
927	3	Perm34	727421
928	4	Perm34	767722
929	5	Perm34	791832
930	6	Perm34	817033
931	7	Perm34	888644
932	8	Perm34	922888
933	9	Perm34	960229
934	10	Perm34	968754
935	11	Perm34	997535
936	12	Perm34	1024478
937	13	Perm34	1042692
938	14	Perm34	1047277
939	15	Perm34	1062686
940	16	Perm34	1070935
941	17	Perm34	1121831
942	18	Perm34	1131909
943	19	Perm34	1138879
944	20	Perm34	1141542
945	21	Perm34	1145753
946	22	Perm34	1147010
947	23	Perm34	1153758
948	24	Perm34	1159336
949	25	Perm34	1162851
950	26	Perm34	1163578
951	27	Perm34	1176789
952	28	Perm34	1177920
953	1	Perm35	510234
954	2	Perm35	626487
955	3	Perm35	712694
956	4	Perm35	762424
957	5	Perm35	832415
958	6	Perm35	868475
959	7	Perm35	938099
960	8	Perm35	956439
961	9	Perm35	981694
962	10	Perm35	991160
963	11	Perm35	1008512
964	12	Perm35	1021947
965	13	Perm35	1033165
966	14	Perm35	1043868
967	15	Perm35	1048812
968	16	Perm35	1057399
969	17	Perm35	1066349
970	18	Perm35	1074026
971	19	Perm35	1080159
972	20	Perm35	1085578
973	21	Perm35	1091931
974	22	Perm35	1096013
975	23	Perm35	1100656
976	24	Perm35	1106790
977	25	Perm35	1108878
978	26	Perm35	1111067
979	27	Perm35	1112148
980	28	Perm35	1177920
981	1	Perm36	502859
982	2	Perm36	617630
983	3	Perm36	728161
984	4	Perm36	780176
985	5	Perm36	816243
986	6	Perm36	848040
987	7	Perm36	868817
988	8	Perm36	889901
989	9	Perm36	905456
990	10	Perm36	968497
991	11	Perm36	982860
992	12	Perm36	1058670
993	13	Perm36	1066537
994	14	Perm36	1080960
995	15	Perm36	1108043
996	16	Perm36	1111728
997	17	Perm36	1114872
998	18	Perm36	1123639
999	19	Perm36	1128512
1000	20	Perm36	1141559
1001	21	Perm36	1148910
1002	22	Perm36	1151069
1003	23	Perm36	1159023
1004	24	Perm36	1166106
1005	25	Perm36	1170365
1006	26	Perm36	1171758
1007	27	Perm36	1172659
1008	28	Perm36	1177920
1009	1	Perm37	285642
1010	2	Perm37	615253
1011	3	Perm37	725493
1012	4	Perm37	789572
1013	5	Perm37	825306
1014	6	Perm37	851280
1015	7	Perm37	888482
1016	8	Perm37	907131
1017	9	Perm37	919918
1018	10	Perm37	976830
1019	11	Perm37	1055354
1020	12	Perm37	1062392
1021	13	Perm37	1091634
1022	14	Perm37	1100327
1023	15	Perm37	1109011
1024	16	Perm37	1121922
1025	17	Perm37	1128294
1026	18	Perm37	1137431
1027	19	Perm37	1144880
1028	20	Perm37	1149574
1029	21	Perm37	1155854
1030	22	Perm37	1159519
1031	23	Perm37	1162321
1032	24	Perm37	1164300
1033	25	Perm37	1167739
1034	26	Perm37	1168551
1035	27	Perm37	1169818
1036	28	Perm37	1177920
1037	1	Perm38	285642
1038	2	Perm38	616129
1039	3	Perm38	689149
1040	4	Perm38	735790
1041	5	Perm38	778804
1042	6	Perm38	822042
1043	7	Perm38	851661
1044	8	Perm38	874567
1045	9	Perm38	900730
1046	10	Perm38	913799
1047	11	Perm38	927267
1048	12	Perm38	936747
1049	13	Perm38	953788
1050	14	Perm38	1012006
1051	15	Perm38	1041938
1052	16	Perm38	1062521
1053	17	Perm38	1071070
1054	18	Perm38	1074952
1055	19	Perm38	1083386
1056	20	Perm38	1151020
1057	21	Perm38	1158378
1058	22	Perm38	1163811
1059	23	Perm38	1165813
1060	24	Perm38	1167802
1061	25	Perm38	1171907
1062	26	Perm38	1175090
1063	27	Perm38	1177023
1064	28	Perm38	1177920
1065	1	Perm39	284929
1066	2	Perm39	510497
1067	3	Perm39	582315
1068	4	Perm39	778677
1069	5	Perm39	831520
1070	6	Perm39	862389
1071	7	Perm39	882178
1072	8	Perm39	926128
1073	9	Perm39	944666
1074	10	Perm39	957689
1075	11	Perm39	968986
1076	12	Perm39	1047080
1077	13	Perm39	1060544
1078	14	Perm39	1076822
1079	15	Perm39	1082974
1080	16	Perm39	1087815
1081	17	Perm39	1110786
1082	18	Perm39	1120974
1083	19	Perm39	1124930
1084	20	Perm39	1127105
1085	21	Perm39	1133020
1086	22	Perm39	1156001
1087	23	Perm39	1161061
1088	24	Perm39	1162608
1089	25	Perm39	1164020
1090	26	Perm39	1170536
1091	27	Perm39	1174496
1092	28	Perm39	1177920
1093	1	Perm40	512270
1094	2	Perm40	621186
1095	3	Perm40	684461
1096	4	Perm40	745338
1097	5	Perm40	777517
1098	6	Perm40	828403
1099	7	Perm40	864858
