Genome	Permutation	Clusters
1008	22	Perm35	28371
1009	23	Perm35	28654
1010	24	Perm35	29277
1011	25	Perm35	29411
1012	26	Perm35	29582
1013	27	Perm35	29660
1014	28	Perm35	29790
1015	29	Perm35	29897
1016	1	Perm36	16210
1017	2	Perm36	18931
1018	3	Perm36	20811
1019	4	Perm36	21700
1020	5	Perm36	22519
1021	6	Perm36	23203
1022	7	Perm36	23804
1023	8	Perm36	24305
1024	9	Perm36	24663
1025	10	Perm36	25041
1026	11	Perm36	26191
1027	12	Perm36	26473
1028	13	Perm36	26747
1029	14	Perm36	26948
1030	15	Perm36	27105
1031	16	Perm36	27389
1032	17	Perm36	27592
1033	18	Perm36	27931
1034	19	Perm36	28033
1035	20	Perm36	28733
1036	21	Perm36	28863
1037	22	Perm36	29039
1038	23	Perm36	29137
1039	24	Perm36	29259
1040	25	Perm36	29388
1041	26	Perm36	29480
1042	27	Perm36	29661
1043	28	Perm36	29793
1044	29	Perm36	29897
1045	1	Perm37	16143
1046	2	Perm37	18802
1047	3	Perm37	20775
1048	4	Perm37	21663
1049	5	Perm37	22184
1050	6	Perm37	22989
1051	7	Perm37	23478
1052	8	Perm37	23814
1053	9	Perm37	24211
1054	10	Perm37	24483
1055	11	Perm37	24943
1056	12	Perm37	25296
1057	13	Perm37	25649
1058	14	Perm37	26004
1059	15	Perm37	26284
1060	16	Perm37	27448
1061	17	Perm37	27587
1062	18	Perm37	27795
1063	19	Perm37	28024
1064	20	Perm37	28306
1065	21	Perm37	28499
1066	22	Perm37	28630
1067	23	Perm37	28764
1068	24	Perm37	28862
1069	25	Perm37	28974
1070	26	Perm37	29073
1071	27	Perm37	29687
1072	28	Perm37	29815
1073	29	Perm37	29897
1074	1	Perm38	16293
1075	2	Perm38	18630
1076	3	Perm38	20528
1077	4	Perm38	22094
1078	5	Perm38	23031
1079	6	Perm38	23588
1080	7	Perm38	24360
1081	8	Perm38	24775
1082	9	Perm38	25291
1083	10	Perm38	25578
1084	11	Perm38	25887
1085	12	Perm38	26176
1086	13	Perm38	26521
1087	14	Perm38	26782
1088	15	Perm38	27026
1089	16	Perm38	27194
1090	17	Perm38	27445
1091	18	Perm38	27653
1092	19	Perm38	27826
1093	20	Perm38	28537
1094	21	Perm38	28715
1095	22	Perm38	29018
1096	23	Perm38	29116
1097	24	Perm38	29227
1098	25	Perm38	29405
1099	26	Perm38	29645
1100	27	Perm38	29735
1101	28	Perm38	29828
1102	29	Perm38	29897
1103	1	Perm39	12563
1104	2	Perm39	18874
1105	3	Perm39	20665
1106	4	Perm39	21972
1107	5	Perm39	22615
1108	6	Perm39	23758
1109	7	Perm39	24257
1110	8	Perm39	24917
1111	9	Perm39	25453
1112	10	Perm39	26270
1113	11	Perm39	26589
1114	12	Perm39	26843
1115	13	Perm39	27141
1116	14	Perm39	27392
1117	15	Perm39	27739
1118	16	Perm39	27927
1119	17	Perm39	28202
1120	18	Perm39	28409
1121	19	Perm39	28549
1122	20	Perm39	28727
1123	21	Perm39	28889
1124	22	Perm39	29011
1125	23	Perm39	29267
1126	24	Perm39	29385
1127	25	Perm39	29478
1128	26	Perm39	29575
1129	27	Perm39	29698
1130	28	Perm39	29793
1131	29	Perm39	29897
1132	1	Perm40	16293
1133	2	Perm40	18868
1134	3	Perm40	20788
1135	4	Perm40	22486
1136	5	Perm40	23261
1137	6	Perm40	23871
1138	7	Perm40	24536
1139	8	Perm40	25023
1140	9	Perm40	25368
1141	10	Perm40	25668
1142	11	Perm40	25976
1143	12	Perm40	26397
1144	13	Perm40	27094
1145	14	Perm40	27326
1146	15	Perm40	27542
1147	16	Perm40	27800
1148	17	Perm40	28137
